Data,Responsavel,Modelo,Origem,Destino,Cidade,Equipe,Qtd,Defeito,Motivo_Descarte
04/05/2026,Eduardo,Onu Router Zte F6600 Gamer,Recolhimento,Reaproveitado,Dois Irmãos,Suporte 03,15,,
04/05/2026,Eduardo,Roteador Multilaser Re172 N,Recolhimento,Reaproveitado,Nova Petrópolis,Suporte 05,20,,
05/05/2026,Eduardo,Onu Router Zte F670L V9,Caixa de OS,Reaproveitado,Gramado,Equipe 06,8,Sinal Alto,
05/05/2026,Eduardo,Onu Bridge Multilaser Re 880,Recolhimento,Descarte,Gramado,Suporte 06,12,,Parte exterior amarelada
06/05/2026,Eduardo,Rádio Ubiquiti Lite Beam M5 23Dbi,Caixa de OS,RMA,Gramado,Equipe 16,11,Não reseta,
08/05/2026,Eduardo,Roteador Intelbras Iwr 3000N,Casa Velha,Descarte,Santa Maria do Herval,Equipe 03,10,,Antena quebrada
10/05/2026,Eduardo,Onu Router Zte F6600 Gamer,Recolhimento,Reaproveitado,Dois Irmãos,Suporte 03,25,,
11/05/2026,Eduardo,Roteador Multilaser Re172 N,Casa Velha,Venda,Feliz,Equipe 17,30,,
12/05/2026,Eduardo,Onu Router Zte F670L V9,Recolhimento,Reaproveitado,Dois Irmãos,Suporte 03,18,,
13/05/2026,Eduardo,Onu Router Zte F670L V1,Recolhimento,Reaproveitado,Nova Petrópolis,Suporte 05,22,,
14/05/2026,Eduardo,Roteador Intelbras Iwr 3000N,Casa Velha,Descarte,Gramado,Equipe 02,15,,Parte exterior com tinta
15/05/2026,Eduardo,Onu Bridge Zte F601,Recolhimento,Reaproveitado,Esteio,Equipe 13,10,,
15/05/2026,Eduardo,Rádio Ubiquiti Lite Beam M5 23Dbi,Caixa de OS,RMA,Nova Petrópolis,Equipe 11,5,Sinal Alto,
18/05/2026,Eduardo,Roteador Zte H199A Ac,Recolhimento,Reaproveitado,Santa Maria do Herval,Equipe 09,14,,
20/05/2026,Eduardo,Roteador Tp-Link Archer Ec220-G5 Ac,Recolhimento,Reaproveitado,Dois Irmãos,Suporte 03,16,,
21/05/2026,Eduardo,Onu Router Zte F6600 Gamer,Recolhimento,Reaproveitado,Dois Irmãos,Suporte 03,40,,
22/05/2026,Eduardo,Roteador Multilaser Re172 N,Recolhimento,Reaproveitado,Nova Petrópolis,Suporte 05,35,,
22/05/2026,Eduardo,Onu Router Zte F670L V9,Caixa de OS,Reaproveitado,Gramado,Equipe 06,12,Quedas do WIFI,
25/05/2026,Eduardo,Roteador Multilaser Re172 N,Casa Velha,Venda,Feliz,Equipe 17,70,,
26/05/2026,Eduardo,Onu Router Zte F670L V1,Recolhimento,Reaproveitado,Dois Irmãos,Suporte 03,28,,
27/05/2026,Eduardo,Roteador Intelbras Iwr 3000N,Casa Velha,Descarte,Gramado,Equipe 02,25,,Parte exterior amarelada
28/05/2026,Eduardo,Onu Bridge Zte F601,Recolhimento,Reaproveitado,Esteio,Equipe 13,39,,
29/05/2026,Eduardo,Rádio Ubiquiti Lite Beam M5 23Dbi,Caixa de OS,RMA,Nova Petrópolis,Equipe 11,12,Reiniciando,
29/05/2026,Eduardo,Roteador Zte H199A Ac,Recolhimento,Reaproveitado,Santa Maria do Herval,Equipe 09,31,,
